Entry	Entry Name	Protein names	Gene Names (synonym)	Gene Names (primary)
A0A6Q8PHD8	A0A6Q8PHD8_HUMAN	Olfactory receptor	NA	OR14L1P
A0A6Q8PHE3	A0A6Q8PHE3_HUMAN	Histidine--tRNA ligase, cytoplasmic (EC 6.1.1.21) (Histidyl-tRNA synthetase)	NA	HARS1
A0A6Q8PHF4	A0A6Q8PHF4_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PHF7	A0A6Q8PHF7_HUMAN	Sodium channel subunit beta-1	NA	SCN1B
A0A6Q8PHF8	A0A6Q8PHF8_HUMAN	Riboflavin transporter	NA	SLC52A2
A0A6Q8PHG4	A0A6Q8PHG4_HUMAN	Tripartite motif-containing protein 2	NA	NA
A0A6Q8PHG7	A0A6Q8PHG7_HUMAN	V-type proton ATPase subunit a	NA	ATP6V0A2
A0A6Q8PHG9	A0A6Q8PHG9_HUMAN	CAAX prenyl protease (EC 3.4.24.84)	NA	ZMPSTE24
A0A6Q8PHH2	A0A6Q8PHH2_HUMAN	Histone acetyltransferase KAT7	NA	KAT7
A0A6Q8PHH9	A0A6Q8PHH9_HUMAN	glycine--tRNA ligase (EC 6.1.1.14) (Diadenosine tetraphosphate synthetase)	NA	GARS1
A0A6Q8PHI0	A0A6Q8PHI0_HUMAN	Protein NDRG1 (N-myc downstream-regulated gene 1 protein)	NA	NDRG1
A0A6Q8PHI5	A0A6Q8PHI5_HUMAN	Elongator complex protein 1	NA	ELP1
A0A6Q8PHJ4	A0A6Q8PHJ4_HUMAN	Apoptosis-inducing factor 1, mitochondrial	NA	AIFM1
A0A6Q8PHJ5	A0A6Q8PHJ5_HUMAN	E3 ubiquitin-protein ligase (EC 2.3.2.26)	NA	NEDD4L
